observation_id,class_label_Y,firm_status,x1_crisp,x1_lower_vertex,x1_modal_vertex,x1_upper_vertex,x1_left_spread,x1_right_spread,x2_crisp,x2_lower_vertex,x2_modal_vertex,x2_upper_vertex,x2_left_spread,x2_right_spread,x3_crisp,x3_lower_vertex,x3_modal_vertex,x3_upper_vertex,x3_left_spread,x3_right_spread,Y_fuzzy_lower_vertex,Y_fuzzy_modal_vertex,Y_fuzzy_upper_vertex,Y_fuzzy_modal,Y_fuzzy_left_spread,Y_fuzzy_right_spread
1,0,bankrupt,7.2,6.21,7.2,7.93,0.9900000000000002,0.7299999999999995,-22.6,-24.7,-22.6,-19.46,2.099999999999998,3.1400000000000006,2.0,1.56,2.0,2.37,0.43999999999999995,0.3700000000000001,0.9,0.98,0.99,0.98,0.08,0.01
2,0,bankrupt,-4.0,-4.2,-4.0,-3.62,0.20000000000000018,0.3799999999999999,-15.8,-16.83,-15.8,-14.69,1.0299999999999976,1.1100000000000012,2.1,1.63,2.1,2.49,0.4700000000000002,0.3900000000000001,0.9,0.98,0.99,0.98,0.08,0.01
3,0,bankrupt,-48.2,-50.94,-48.2,-44.56,2.739999999999995,3.6400000000000006,6.8,5.81,6.8,7.36,0.9900000000000002,0.5600000000000005,1.6,1.24,1.6,1.9,0.3600000000000001,0.2999999999999998,0.9,0.98,0.99,0.98,0.08,0.01
4,0,bankrupt,-27.9,-31.17,-27.9,-24.57,3.270000000000003,3.3299999999999983,6.3,5.85,6.3,7.11,0.4500000000000002,0.8100000000000005,1.3,1.01,1.3,1.54,0.29000000000000004,0.24,0.9,0.98,0.99,0.98,0.08,0.01
5,0,bankrupt,-38.0,-40.04,-38.0,-35.43,2.039999999999999,2.5700000000000003,1.6,1.51,1.6,1.7,0.09000000000000008,0.09999999999999987,1.2,0.93,1.2,1.42,0.2699999999999999,0.21999999999999997,0.9,0.98,0.99,0.98,0.08,0.01
6,0,bankrupt,20.8,18.49,20.8,23.46,2.3100000000000023,2.66,-4.3,-4.68,-4.3,-3.79,0.3799999999999999,0.5099999999999998,1.0,0.78,1.0,1.19,0.21999999999999997,0.18999999999999995,0.9,0.98,0.99,0.98,0.08,0.01
7,0,bankrupt,3.3,2.9,3.3,3.68,0.3999999999999999,0.38000000000000034,-3.5,-3.91,-3.5,-3.07,0.41000000000000014,0.43000000000000016,1.1,0.86,1.1,1.31,0.2400000000000001,0.20999999999999996,0.9,0.98,0.99,0.98,0.08,0.01
8,0,bankrupt,-18.1,-20.42,-18.1,-15.97,2.3200000000000003,2.130000000000001,-6.5,-6.93,-6.5,-5.61,0.4299999999999997,0.8899999999999997,0.9,0.7,0.9,1.07,0.20000000000000007,0.17000000000000004,0.9,0.98,0.99,0.98,0.08,0.01
9,0,bankrupt,-20.3,-23.28,-20.3,-18.21,2.9800000000000004,2.09,-17.4,-19.04,-17.4,-15.33,1.6400000000000006,2.0699999999999985,1.0,0.78,1.0,1.19,0.21999999999999997,0.18999999999999995,0.9,0.98,0.99,0.98,0.08,0.01
10,0,bankrupt,-11.4,-12.81,-11.4,-10.55,1.4100000000000001,0.8499999999999996,4.8,4.53,4.8,5.45,0.2699999999999996,0.6500000000000004,0.9,0.7,0.9,1.07,0.20000000000000007,0.17000000000000004,0.9,0.98,0.99,0.98,0.08,0.01
11,0,bankrupt,-8.8,-9.37,-8.8,-8.06,0.5699999999999985,0.7400000000000002,-9.1,-10.01,-9.1,-8.47,0.9100000000000001,0.629999999999999,0.9,0.7,0.9,1.07,0.20000000000000007,0.17000000000000004,0.9,0.98,0.99,0.98,0.08,0.01
12,0,bankrupt,-13.1,-14.78,-13.1,-11.83,1.6799999999999997,1.2699999999999996,-17.6,-19.04,-17.6,-15.78,1.4399999999999977,1.820000000000002,0.9,0.7,0.9,1.07,0.20000000000000007,0.17000000000000004,0.9,0.98,0.99,0.98,0.08,0.01
13,0,bankrupt,-18.1,-19.58,-18.1,-16.23,1.4799999999999969,1.870000000000001,-28.8,-30.67,-28.8,-25.67,1.870000000000001,3.129999999999999,1.1,0.86,1.1,1.31,0.2400000000000001,0.20999999999999996,0.9,0.98,0.99,0.98,0.08,0.01
14,0,bankrupt,-57.9,-64.97,-57.9,-52.26,7.07,5.640000000000001,0.7,0.66,0.7,0.78,0.039999999999999925,0.08000000000000007,0.8,0.62,0.8,0.95,0.18000000000000005,0.1499999999999999,0.9,0.98,0.99,0.98,0.08,0.01
15,0,bankrupt,-39.4,-42.42,-39.4,-36.82,3.020000000000003,2.5799999999999983,-35.7,-37.55,-35.7,-32.73,1.8499999999999943,2.970000000000006,1.2,0.93,1.2,1.42,0.2699999999999999,0.21999999999999997,0.9,0.98,0.99,0.98,0.08,0.01
16,0,bankrupt,-98.0,-102.97,-98.0,-87.2,4.969999999999999,10.799999999999997,-20.8,-23.9,-20.8,-18.69,3.099999999999998,2.1099999999999994,1.7,1.32,1.7,2.02,0.3799999999999999,0.32000000000000006,0.9,0.98,0.99,0.98,0.08,0.01
17,0,bankrupt,-3.8,-4.24,-3.8,-3.46,0.4400000000000004,0.33999999999999986,-50.6,-54.46,-50.6,-47.85,3.8599999999999994,2.75,0.9,0.7,0.9,1.07,0.20000000000000007,0.17000000000000004,0.9,0.98,0.99,0.98,0.08,0.01
18,0,bankrupt,-19.2,-21.78,-19.2,-17.58,2.580000000000002,1.620000000000001,-36.7,-41.59,-36.7,-32.04,4.890000000000001,4.660000000000004,0.8,0.62,0.8,0.95,0.18000000000000005,0.1499999999999999,0.9,0.98,0.99,0.98,0.08,0.01
19,0,bankrupt,-61.2,-69.28,-61.2,-53.74,8.079999999999998,7.460000000000001,-56.2,-63.25,-56.2,-52.03,7.049999999999997,4.170000000000002,1.7,1.32,1.7,2.02,0.3799999999999999,0.32000000000000006,0.9,0.98,0.99,0.98,0.08,0.01
20,0,bankrupt,-106.4,-115.9,-106.4,-99.83,9.5,6.570000000000007,-22.9,-25.66,-22.9,-20.74,2.7600000000000016,2.16,1.5,1.17,1.5,1.78,0.33000000000000007,0.28,0.9,0.98,0.99,0.98,0.08,0.01
21,0,bankrupt,-49.2,-52.76,-49.2,-43.45,3.559999999999995,5.75,-17.2,-19.21,-17.2,-15.59,2.0100000000000016,1.6099999999999994,0.3,0.23,0.3,0.36,0.06999999999999998,0.06,0.9,0.98,0.99,0.98,0.08,0.01
22,0,bankrupt,-164.1,-176.92,-164.1,-148.67,12.819999999999993,15.430000000000007,-17.7,-19.34,-17.7,-16.34,1.6400000000000006,1.3599999999999994,1.3,1.01,1.3,1.54,0.29000000000000004,0.24,0.9,0.98,0.99,0.98,0.08,0.01
23,0,bankrupt,-64.7,-71.86,-64.7,-60.22,7.159999999999997,4.480000000000004,-4.0,-4.4,-4.0,-3.74,0.40000000000000036,0.2599999999999998,0.1,0.08,0.1,0.12,0.020000000000000004,0.01999999999999999,0.9,0.98,0.99,0.98,0.08,0.01
24,0,bankrupt,-129.0,-140.44,-129.0,-110.73,11.439999999999998,18.269999999999996,-14.2,-16.17,-14.2,-12.66,1.9700000000000024,1.5399999999999991,1.3,1.01,1.3,1.54,0.29000000000000004,0.24,0.9,0.98,0.99,0.98,0.08,0.01
25,0,bankrupt,-118.3,-135.38,-118.3,-104.84,17.08,13.459999999999994,-34.2,-37.25,-34.2,-29.86,3.049999999999997,4.340000000000003,1.5,1.17,1.5,1.78,0.33000000000000007,0.28,0.9,0.98,0.99,0.98,0.08,0.01
26,0,bankrupt,-62.8,-68.9,-62.8,-55.29,6.1000000000000085,7.509999999999998,-89.5,-98.31,-89.5,-81.5,8.810000000000002,8.0,1.7,1.32,1.7,2.02,0.3799999999999999,0.32000000000000006,0.9,0.98,0.99,0.98,0.08,0.01
27,1,solvent,12.5,11.44,12.5,13.95,1.0600000000000005,1.4499999999999993,7.0,6.21,7.0,7.81,0.79,0.8099999999999996,1.8,1.4,1.8,2.14,0.40000000000000013,0.3400000000000001,0.01,0.02,0.1,0.02,0.01,0.08
28,1,solvent,21.7,19.46,21.7,24.65,2.2399999999999984,2.9499999999999993,-7.8,-8.35,-7.8,-6.97,0.5499999999999998,0.8300000000000001,1.6,1.24,1.6,1.9,0.3600000000000001,0.2999999999999998,0.01,0.02,0.1,0.02,0.01,0.08
29,1,solvent,8.5,7.53,8.5,9.33,0.9699999999999998,0.8300000000000001,5.8,5.39,5.8,6.41,0.41000000000000014,0.6100000000000003,1.5,1.17,1.5,1.78,0.33000000000000007,0.28,0.01,0.02,0.1,0.02,0.01,0.08
30,1,solvent,39.8,33.94,39.8,42.55,5.859999999999999,2.75,13.8,12.5,13.8,14.66,1.3000000000000007,0.8599999999999994,1.2,0.93,1.2,1.42,0.2699999999999999,0.21999999999999997,0.01,0.02,0.1,0.02,0.01,0.08
31,1,solvent,43.0,36.91,43.0,46.31,6.090000000000003,3.3100000000000023,16.4,14.66,16.4,18.74,1.7399999999999984,2.34,1.3,1.01,1.3,1.54,0.29000000000000004,0.24,0.01,0.02,0.1,0.02,0.01,0.08
32,1,solvent,21.5,20.17,21.5,24.6,1.3299999999999983,3.1000000000000014,-14.4,-15.82,-14.4,-12.46,1.42,1.9399999999999995,1.0,0.78,1.0,1.19,0.21999999999999997,0.18999999999999995,0.01,0.02,0.1,0.02,0.01,0.08
33,1,solvent,17.4,14.8,17.4,18.65,2.599999999999998,1.25,12.6,11.73,12.6,13.39,0.8699999999999992,0.7900000000000009,1.3,1.01,1.3,1.54,0.29000000000000004,0.24,0.01,0.02,0.1,0.02,0.01,0.08
34,1,solvent,46.7,41.81,46.7,51.02,4.890000000000001,4.32,12.6,10.88,12.6,14.0,1.7199999999999989,1.4000000000000004,0.9,0.7,0.9,1.07,0.20000000000000007,0.17000000000000004,0.01,0.02,0.1,0.02,0.01,0.08
35,1,solvent,16.3,15.33,16.3,17.97,0.9700000000000006,1.6699999999999982,20.4,17.6,20.4,21.97,2.799999999999997,1.5700000000000003,1.0,0.78,1.0,1.19,0.21999999999999997,0.18999999999999995,0.01,0.02,0.1,0.02,0.01,0.08
36,1,solvent,35.3,30.59,35.3,37.97,4.709999999999997,2.6700000000000017,4.2,3.58,4.2,4.73,0.6200000000000001,0.5300000000000002,0.9,0.7,0.9,1.07,0.20000000000000007,0.17000000000000004,0.01,0.02,0.1,0.02,0.01,0.08
37,1,solvent,53.5,50.48,53.5,58.34,3.020000000000003,4.840000000000003,20.6,19.18,20.6,21.72,1.4200000000000017,1.1199999999999974,1.1,0.86,1.1,1.31,0.2400000000000001,0.20999999999999996,0.01,0.02,0.1,0.02,0.01,0.08
38,1,solvent,40.6,35.97,40.6,44.84,4.630000000000003,4.240000000000002,5.8,5.14,5.8,6.11,0.6600000000000001,0.3100000000000005,1.8,1.4,1.8,2.14,0.40000000000000013,0.3400000000000001,0.01,0.02,0.1,0.02,0.01,0.08
39,1,solvent,33.0,29.11,33.0,36.75,3.8900000000000006,3.75,23.6,21.29,23.6,26.67,2.3100000000000023,3.0700000000000003,1.5,1.17,1.5,1.78,0.33000000000000007,0.28,0.01,0.02,0.1,0.02,0.01,0.08
40,1,solvent,-3.3,-3.56,-3.3,-3.1,0.26000000000000023,0.19999999999999973,4.0,3.47,4.0,4.55,0.5299999999999998,0.5499999999999998,2.7,2.1,2.7,3.2,0.6000000000000001,0.5,0.01,0.02,0.1,0.02,0.01,0.08
41,1,solvent,26.1,22.33,26.1,27.95,3.770000000000003,1.8499999999999979,10.4,9.64,10.4,11.44,0.7599999999999998,1.0399999999999991,2.1,1.63,2.1,2.49,0.4700000000000002,0.3900000000000001,0.01,0.02,0.1,0.02,0.01,0.08
42,1,solvent,31.4,29.0,31.4,33.97,2.3999999999999986,2.5700000000000003,15.7,14.73,15.7,17.84,0.9699999999999989,2.1400000000000006,1.9,1.48,1.9,2.25,0.41999999999999993,0.3500000000000001,0.01,0.02,0.1,0.02,0.01,0.08
43,1,solvent,37.3,33.88,37.3,42.31,3.4199999999999946,5.010000000000005,34.1,29.91,34.1,38.84,4.190000000000001,4.740000000000002,1.5,1.17,1.5,1.78,0.33000000000000007,0.28,0.01,0.02,0.1,0.02,0.01,0.08
44,1,solvent,53.1,46.35,53.1,60.71,6.75,7.609999999999999,7.1,6.39,7.1,7.84,0.71,0.7400000000000002,1.9,1.48,1.9,2.25,0.41999999999999993,0.3500000000000001,0.01,0.02,0.1,0.02,0.01,0.08
45,1,solvent,35.0,31.23,35.0,39.14,3.7699999999999996,4.140000000000001,20.8,17.7,20.8,21.84,3.1000000000000014,1.0399999999999991,1.9,1.48,1.9,2.25,0.41999999999999993,0.3500000000000001,0.01,0.02,0.1,0.02,0.01,0.08
46,1,solvent,54.7,51.39,54.7,58.04,3.3100000000000023,3.3399999999999963,14.6,13.57,14.6,15.54,1.0299999999999994,0.9399999999999995,1.7,1.32,1.7,2.02,0.3799999999999999,0.32000000000000006,0.01,0.02,0.1,0.02,0.01,0.08
47,1,solvent,34.6,30.63,34.6,38.21,3.9700000000000024,3.6099999999999994,26.4,23.46,26.4,28.68,2.9399999999999977,2.280000000000001,1.8,1.4,1.8,2.14,0.40000000000000013,0.3400000000000001,0.01,0.02,0.1,0.02,0.01,0.08
48,1,solvent,20.8,18.42,20.8,23.19,2.379999999999999,2.3900000000000006,12.5,10.64,12.5,13.78,1.8599999999999994,1.2799999999999994,2.4,1.87,2.4,2.85,0.5299999999999998,0.4500000000000002,0.01,0.02,0.1,0.02,0.01,0.08
49,1,solvent,47.0,41.05,47.0,50.24,5.950000000000003,3.240000000000002,16.0,14.09,16.0,17.73,1.9100000000000001,1.7300000000000004,1.9,1.48,1.9,2.25,0.41999999999999993,0.3500000000000001,0.01,0.02,0.1,0.02,0.01,0.08
50,1,solvent,68.6,60.3,68.6,73.65,8.299999999999997,5.050000000000011,13.8,11.87,13.8,15.28,1.9300000000000015,1.4799999999999986,1.6,1.24,1.6,1.9,0.3600000000000001,0.2999999999999998,0.01,0.02,0.1,0.02,0.01,0.08
51,1,solvent,37.3,34.99,37.3,41.43,2.309999999999995,4.130000000000003,33.4,28.91,33.4,37.54,4.489999999999998,4.140000000000001,3.5,2.72,3.5,4.15,0.7799999999999998,0.6500000000000004,0.01,0.02,0.1,0.02,0.01,0.08
52,1,solvent,59.5,55.7,59.5,66.62,3.799999999999997,7.1200000000000045,7.0,6.31,7.0,7.95,0.6900000000000004,0.9500000000000002,2.0,1.56,2.0,2.37,0.43999999999999995,0.3700000000000001,0.01,0.02,0.1,0.02,0.01,0.08
53,1,solvent,35.9,32.5,35.9,39.01,3.3999999999999986,3.1099999999999994,26.4,23.4,26.4,28.46,3.0,2.0600000000000023,2.3,1.79,2.3,2.73,0.5099999999999998,0.43000000000000016,0.01,0.02,0.1,0.02,0.01,0.08
54,1,solvent,19.9,17.47,19.9,21.93,2.4299999999999997,2.030000000000001,26.7,25.23,26.7,29.34,1.4699999999999989,2.6400000000000006,1.6,1.24,1.6,1.9,0.3600000000000001,0.2999999999999998,0.01,0.02,0.1,0.02,0.01,0.08
55,1,solvent,39.4,34.42,39.4,43.84,4.979999999999997,4.440000000000005,30.5,27.33,30.5,34.15,3.1700000000000017,3.6499999999999986,1.9,1.48,1.9,2.25,0.41999999999999993,0.3500000000000001,0.01,0.02,0.1,0.02,0.01,0.08
56,1,solvent,49.6,43.84,49.6,55.9,5.759999999999998,6.299999999999997,23.8,21.02,23.8,25.19,2.780000000000001,1.3900000000000006,1.9,1.48,1.9,2.25,0.41999999999999993,0.3500000000000001,0.01,0.02,0.1,0.02,0.01,0.08
57,1,solvent,18.1,16.22,18.1,20.58,1.8800000000000026,2.479999999999997,13.5,12.04,13.5,14.2,1.4600000000000009,0.6999999999999993,4.0,3.11,4.0,4.75,0.8900000000000001,0.75,0.01,0.02,0.1,0.02,0.01,0.08
58,1,solvent,49.5,43.99,49.5,54.86,5.509999999999998,5.359999999999999,25.1,22.39,25.1,28.69,2.710000000000001,3.59,2.6,2.02,2.6,3.09,0.5800000000000001,0.48999999999999977,0.01,0.02,0.1,0.02,0.01,0.08
